task,model,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,log_loss,roc_auc
4class_baseline,LogisticRegression,0.5855513307984791,0.5493279030191781,0.5852685752448429,0.5444909037558685,0.5580221665127326,0.8946208494271667,
4class_baseline,RandomForest,0.6311787072243346,0.5977265979556347,0.6263133933292919,0.596969714095181,0.6010980633622144,0.8374535156681967,
4class_baseline,GradientBoosting,0.6273764258555133,0.5711209180783218,0.6123940073160722,0.6144240686809853,0.5569006465232881,0.8631747365420381,
4class_baseline,XGBoost,0.596958174904943,0.5498193950505584,0.590985016847615,0.5647656940760389,0.5422109337203677,0.9994678441794009,
4class_baseline,SVM,0.5627376425855514,0.5395820426675555,0.5646217548375005,0.5320148662253925,0.5564461743707027,0.8501877540322127,
4class_baseline,MLP,0.5703422053231939,0.4687370600414078,0.5269631344023806,0.518803487376979,0.47249710457257627,0.941215839522139,
4class_baseline,Stacking,0.5893536121673004,0.5511187580153097,0.5878209906005895,0.5454780361757106,0.5608149711923297,0.8778582964605027,
4class_fs_filter,LogisticRegression,0.5893536121673004,0.5440671730869329,0.5839927717681647,0.5393298059964727,0.5535544120449781,0.9082949677330262,
4class_fs_filter,RandomForest,0.6083650190114068,0.5570657020978326,0.5969437413375848,0.5832561999828685,0.5462901877996217,0.9277553581200787,
4class_fs_filter,GradientBoosting,0.6311787072243346,0.5665034092000384,0.612236884801205,0.6014748281215347,0.5561969477063817,0.8958037028067817,
4class_fs_filter,XGBoost,0.5779467680608364,0.5278167854232763,0.5680588984794632,0.55703081232493,0.5168118045476536,1.0180865337753031,
4class_fs_filter,SVM,0.5437262357414449,0.5172143046920666,0.5456083995686748,0.5103040086090934,0.5327952969462403,0.8686069425152254,
4class_fs_filter,MLP,0.6121673003802282,0.5324166296207059,0.5835097459984072,0.5710041592394534,0.5275688671915088,0.8706246315248021,
4class_fs_filter,Stacking,0.5817490494296578,0.5444227994227994,0.579541010320478,0.540040232836843,0.5502521587427248,0.8775870272592395,
4class_fs_wrapper,LogisticRegression,0.5513307984790875,0.5070943053503896,0.5464840886593818,0.5025736701109835,0.5172772719942532,0.9223750379004834,
4class_fs_wrapper,RandomForest,0.5209125475285171,0.478865322978082,0.5214372622479927,0.4775650739579511,0.4812163727258067,2.0332351723413495,
4class_fs_wrapper,GradientBoosting,0.596958174904943,0.539213386504027,0.5819229750376615,0.5732430801692338,0.527957367580009,0.9583619936952477,
4class_fs_wrapper,XGBoost,0.596958174904943,0.5439331049087147,0.5860272253669268,0.5654701269302288,0.5349503745730161,1.0219717551017404,
4class_fs_wrapper,SVM,0.55893536121673,0.5319185922122379,0.5629876401450628,0.527355776829461,0.5498893140402573,0.8967087695256956,
4class_fs_wrapper,MLP,0.6083650190114068,0.5163409703504044,0.5675274324522835,0.5680268106242247,0.5220822154784419,0.8868529195302339,
4class_fs_wrapper,Stacking,0.5779467680608364,0.5395450966192405,0.5781759029775366,0.5353015602376215,0.5512234097139758,0.9079471399837313,
4class_fs_embedded,LogisticRegression,0.55893536121673,0.5233210291556402,0.5593455998444922,0.5184202860259198,0.5330848396886133,0.9385422808758154,
4class_fs_embedded,RandomForest,0.5779467680608364,0.5303296251492365,0.5717948808137796,0.5406894934333959,0.5252855111345677,1.2174112361840759,
4class_fs_embedded,GradientBoosting,0.5893536121673004,0.5287224329203221,0.5751805164250126,0.5601832838080513,0.5188752547243113,0.9594295519833305,
4class_fs_embedded,XGBoost,0.5741444866920152,0.520701786800311,0.5645637281904929,0.538527136407931,0.5137514477137118,1.1115738248817462,
4class_fs_embedded,SVM,0.5133079847908745,0.49026813665441676,0.5178345471962639,0.4858916623777663,0.5010335576373312,0.9122696135321414,
4class_fs_embedded,MLP,0.5931558935361216,0.5024021663172608,0.5457843102087667,0.5635901162790699,0.5125163096861209,0.9076533207840272,
4class_fs_embedded,Stacking,0.5665399239543726,0.5343768087130919,0.5677729427519124,0.5306718239167473,0.5396160443330255,0.9126751545463085,
