task,model,eval_type,cv_accuracy_mean,cv_accuracy_std,cv_f1_macro_mean,cv_f1_macro_std,cv_f1_weighted_mean,cv_f1_weighted_std,cv_precision_macro_mean,cv_precision_macro_std,cv_recall_macro_mean,cv_recall_macro_std
binary_baseline,LogisticRegression,cv,0.7073172147563347,0.006060876353214436,0.70666691617795,0.006180694555677148,0.7066737793538532,0.006176798277689443,0.7091289507868085,0.006050856564646301,0.7072981725653481,0.006075789544063207
binary_baseline,RandomForest,cv,0.7240878878472122,0.013696218939572624,0.7237980570915153,0.013903901492028818,0.723799926797442,0.01389833972125413,0.7249631272964557,0.01320842917609771,0.724086282674069,0.013715789882474802
binary_baseline,GradientBoosting,cv,0.7355266595071547,0.012476080115939448,0.7351825019195605,0.012412601839523689,0.735173450282622,0.012409841627392998,0.7368629923647416,0.01286215735221948,0.7355655794587093,0.012485626821875477
binary_baseline,XGBoost,cv,0.7004673032827331,0.020267311700564564,0.7000457745667327,0.020033787242972268,0.700048457957533,0.020032533652314395,0.7017328813392544,0.0213756435585424,0.7004626416840157,0.02027018916610999
binary_baseline,SVM,cv,0.7058050097233912,0.025619460925336193,0.7051958546459353,0.026040085877449357,0.7051967107813035,0.02601979043155941,0.7073309209343112,0.024941471828508168,0.7058119361554477,0.02568514590868503
binary_baseline,MLP,cv,0.700467303282733,0.010915138032994081,0.699669050572868,0.01112821908762645,0.6996876384868431,0.011118078042511245,0.7024857283583247,0.010721212542579458,0.700410594494564,0.010946878500093836
binary_baseline,Stacking,cv,0.7164630075755377,0.019798944133103274,0.7161364338978606,0.019822946499841607,0.7161266912406721,0.019810824928740714,0.7175514221563024,0.02006075623238745,0.7165047420772612,0.019846706458670385
binary_fs_filter,LogisticRegression,cv,0.7042608771369692,0.015101580779919877,0.7035704395601788,0.015559699019390576,0.7035833170723794,0.01555857263536142,0.7059659534165661,0.01405349935171155,0.7042216053666436,0.015105516663214332
binary_fs_filter,RandomForest,cv,0.6943488230342786,0.01117241346655928,0.6940433067087316,0.011222506423924082,0.6940457048469943,0.011229119260090915,0.6951091566465859,0.011091638577615382,0.6943442054129079,0.011152303825587769
binary_fs_filter,GradientBoosting,cv,0.7042928046904479,0.017868655392921616,0.7035677748714995,0.017801853140020057,0.7035788673140357,0.01778701744738394,0.7063092013962567,0.01842740846624975,0.7042620865139949,0.017911150539903588
binary_fs_filter,XGBoost,cv,0.6821641076248802,0.013749632728998543,0.6819033024605115,0.013723357966656451,0.6819062053011169,0.013719858507449726,0.6827645093627598,0.013901316135348531,0.6821593800601434,0.013760435804693409
binary_fs_filter,SVM,cv,0.6981772269468551,0.02570953315847795,0.6976557227308503,0.0258548634013574,0.6976469829071086,0.025844837613937733,0.6995743848823068,0.02576458337013341,0.6982130464954893,0.025743811761902744
binary_fs_filter,MLP,cv,0.7020085333642935,0.020964243491724998,0.7011512338201288,0.02094500479699912,0.7011657004823474,0.02093546382818808,0.7043137329236806,0.02139531821218668,0.7019662271570668,0.020990529465927502
binary_fs_filter,Stacking,cv,0.7149391925231474,0.01413067910548525,0.7144232882253196,0.01415462095617666,0.7144106324490928,0.01414379608490264,0.7166083376597008,0.014430585501638405,0.7149895905621096,0.014172666204240044
binary_fs_wrapper,LogisticRegression,cv,0.7233390415928946,0.0200161386118985,0.7227168181884094,0.0197675672350245,0.722720908425946,0.01976609515869789,0.7255042169030211,0.02118634666349763,0.7233287069164932,0.020018623813316795
binary_fs_wrapper,RandomForest,cv,0.6623574144486692,0.012845312608896493,0.6619349833410628,0.012541661287291762,0.6619278778937324,0.012549096860706021,0.6632873450375605,0.013530913774933427,0.6623814480684709,0.012822594390926688
binary_fs_wrapper,GradientBoosting,cv,0.707323019766058,0.01014798636830233,0.7068595727467526,0.00986957928508079,0.7068511889711788,0.009867114746252946,0.7087806093118147,0.01113756546593667,0.7073560027758501,0.010154998137305424
binary_fs_wrapper,XGBoost,cv,0.7012335645662207,0.011832068811798116,0.7010912034597603,0.011884008371081526,0.7010787707529127,0.011892803693904256,0.7016812587458039,0.011668079859696465,0.7012780476520936,0.01180124599886383
binary_fs_wrapper,SVM,cv,0.7141816387542449,0.009180818792236985,0.7140288372731634,0.009165636636240503,0.7140172286695508,0.009166695053940377,0.7147262382444853,0.009267905007463318,0.7142262317834838,0.009177754615994533
