task_type,task_name,best_model,accuracy,f1_macro,f1_weighted,MAE,RMSE,R2
classification,binary,GradientBoosting,0.752851711026616,0.7523361101050344,0.7523790768484996,,,
classification,3class_balanced,RandomForest,0.6311787072243346,0.5977265979556347,0.6263133933292919,,,
classification,3class_strict,GradientBoosting,0.6653992395437263,0.5869907512284617,0.6440449316616911,,,
classification,4class,RandomForest,0.6311787072243346,0.5977265979556347,0.6263133933292919,,,
regression,regression,SVR,,,,0.9343748673724042,1.224440764179528,0.2989414563743318
